student_id,test_name,test_code,first_score,2,last_score,n_attempt,n_attempt_pass,ever_pass,state_passing_score,first_test_date,last_test_date
32752,0622 Principles of Learn & Teaching: Grades K-6,622,184,NA,184,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
67577,0622 Principles of Learn & Teaching: Grades K-6,622,184,NA,184,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
126999,0041 English LLC: Content Knowledge,41,184,NA,184,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
85984,0041 English LLC: Content Knowledge,41,185,NA,185,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
131841,0622 Principles of Learn & Teaching: Grades K-6,622,185,NA,185,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
180310,0622 Principles of Learn & Teaching: Grades K-6,622,185,NA,185,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
232790,0014 Elem Ed: Content Knowledge,14,185,NA,185,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
129338,0041 English LLC: Content Knowledge,41,186,NA,186,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
70611,0021 Education of Young Children,21,187,NA,187,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
172283,0134 Art: Content Knowledge,134,187,NA,187,1,1,1,151,2012-04-28T00:00:00Z,2012-04-28
211317,0622 Principles of Learn & Teaching: Grades K-6,622,187,NA,187,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
232790,0622 Principles of Learn & Teaching: Grades K-6,622,187,NA,187,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
235362,0021 Education of Young Children,21,188,NA,188,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
129088,0041 English LLC: Content Knowledge,41,189,NA,189,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
133686,0041 English LLC: Content Knowledge,41,189,NA,189,1,1,1,158,2012-04-28T00:00:00Z,2012-04-28
152469,0113 Music: Content Knowledge,113,189,NA,189,1,1,1,148,2012-04-28T00:00:00Z,2012-04-28
217489,0021 Education of Young Children,21,189,NA,189,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
235969,0069 Middle School Mathematics,69,189,NA,189,1,1,1,150,2012-04-28T00:00:00Z,2012-04-28
142064,0014 Elem Ed: Content Knowledge,14,190,NA,190,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
182085,0622 Principles of Learn & Teaching: Grades K-6,622,190,NA,190,1,1,1,154,2012-04-28T00:00:00Z,2012-04-28
182085,0014 Elem Ed: Content Knowledge,14,191,NA,191,1,1,1,143,2012-04-28T00:00:00Z,2012-04-28
64108,0021 Education of Young Children,21,192,NA,192,1,1,1,169,2012-04-28T00:00:00Z,2012-04-28
